Rank,Commander,Deck_Count
1,"Atraxa, Praetors' Voice","35,568"
2,The Ur-Dragon,"27,671"
3,"Yuriko, the Tiger's Shadow","23,408"
4,"Krenko, Mob Boss","22,440"
5,"Lathril, Blade of the Elves","21,864"
6,"Kenrith, the Returned King","21,646"
7,"Sauron, the Dark Lord","21,526"
8,Edgar Markov,"21,344"
9,"Miirym, Sentinel Wyrm","20,988"
10,Kaalia of the Vast,"20,732"
11,"Isshin, Two Heavens as One","19,643"
12,"Gishath, Sun's Avatar","19,080"
13,"Wilhelt, the Rotcleaver","18,966"
14,"Nekusar, the Mindrazer","18,537"
15,"Esika, God of the Tree","18,080"
16,"Jodah, the Unifier","18,041"
17,"Giada, Font of Hope","17,306"
18,"Shorikai, Genesis Engine","17,228"
19,"Pantlaza, Sun-Favored","17,159"
20,"Aragorn, the Uniter","16,909"
21,"Chatterfang, Squirrel General","16,744"
22,"Arcades, the Strategist","16,683"
23,"Animar, Soul of Elements","15,990"
24,"Rin and Seri, Inseparable","15,751"
25,"Ghyrson Starn, Kelermorph","15,665"
26,"Korvold, Fae-Cursed King","15,519"
27,Teysa Karlov,"15,505"
28,"Muldrotha, the Gravetide","15,437"
29,"Zhulodok, Void Gorger","15,275"
30,"Atla Palani, Nest Tender","15,217"
31,Meren of Clan Nel Toth,"15,076"
32,"Frodo, Adventurous Hobbit // Sam, Loyal Attendant","15,026"
33,Go-Shintai of Life's Origin,"14,908"
34,"Henzie ""Toolbox"" Torre","14,752"
35,"Niv-Mizzet, Parun","14,681"
36,"Urtet, Remnant of Memnarch","14,568"
37,"Atraxa, Grand Unifier","14,561"
38,"K'rrik, Son of Yawgmoth","14,058"
39,Sidar Jabari of Zhalfir,"14,018"
40,Tom Bombadil,"13,982"
41,"Breya, Etherium Shaper","13,881"
42,"Urza, Chief Artificer","13,792"
43,"Omnath, Locus of Creation","13,640"
44,Eriette of the Charmed Apple,"13,577"
45,"Omnath, Locus of All","13,333"
46,"Prosper, Tome-Bound","13,301"
47,Hakbal of the Surging Soul,"13,172"
48,The Wise Mothman,"13,111"
49,"Urza, Lord High Artificer","12,855"
50,Thalia and The Gitrog Monster,"12,782"
51,Captain N'ghathrod,"12,630"
52,Queen Marchesa,"12,523"
53,"Kinnan, Bonder Prodigy","12,281"
54,"Oloro, Ageless Ascetic","12,259"
55,"Sisay, Weatherlight Captain","12,246"
56,"Alela, Artful Provocateur","12,190"
57,"Voja, Jaws of the Conclave","11,954"
58,"Zaxara, the Exemplary","11,937"
59,"Tivit, Seller of Secrets","11,551"
60,"Sythis, Harvest's Hand","11,325"
61,Zur the Enchanter,"11,192"
62,"Magda, Brazen Outlaw","11,167"
63,The First Sliver,"11,128"
64,"Xyris, the Writhing Storm","11,083"
65,Magus Lucea Kane,"11,072"
66,"Ulalek, Fused Atrocity","11,067"
67,"Tovolar, Dire Overlord","11,019"
68,"Be'lakor, the Dark Master","10,999"
69,"Najeela, the Blade-Blossom","10,878"
70,"Mr. House, President and CEO","10,862"
71,Lord of the Nazgûl,"10,705"
72,"Shelob, Child of Ungoliant","10,536"
73,Satoru Umezawa,"10,535"
74,Marneus Calgar,"10,512"
75,"Aesi, Tyrant of Gyre Strait","10,499"
76,"Anikthea, Hand of Erebos","10,485"
77,The Scarab God,"10,427"
78,"Yarok, the Desecrated","10,416"
79,"Alela, Cunning Conqueror","10,377"
80,"Kykar, Wind's Fury","10,241"
81,The Necrobloom,"10,019"
82,"Obeka, Splitter of Seconds","9,996"
83,"Feather, the Redeemed","9,962"
84,"Morophon, the Boundless","9,892"
85,"Winota, Joiner of Forces","9,789"
86,"Kibo, Uktabi Prince","9,740"
87,"Narset, Enlightened Exile","9,641"
88,"Dihada, Binder of Wills","9,622"
89,"Sheoldred, the Apocalypse","9,511"
90,"Liesa, Shroud of Dusk","9,477"
91,"Marchesa, the Black Rose","9,420"
92,Hylda of the Icy Crown,"9,346"
93,Shalai and Hallar,"9,215"
94,"Tergrid, God of Fright","9,133"
95,Lord Windgrace,"9,123"
96,Marrow-Gnawer,"9,075"
97,"Fynn, the Fangbearer","9,057"
98,"Jetmir, Nexus of Revels","9,040"
99,"Baylen, the Haymaker","8,948"
100,"Caesar, Legion's Emperor","8,788"
101,"Ojer Axonil, Deepest Might","8,774"
102,Sefris of the Hidden Ways,"8,753"
103,"Ramos, Dragon Engine","8,615"
104,"Etali, Primal Conqueror","8,544"
105,Ezio Auditore da Firenze,"8,541"
106,"Veyran, Voice of Duality","8,450"
107,"Éowyn, Shieldmaiden","8,445"
108,"Rowan, Scion of War","8,408"
109,"Light-Paws, Emperor's Voice","8,346"
110,Ms. Bumbleflower,"8,304"
111,"Galadriel, Light of Valinor","8,248"
112,"Stella Lee, Wild Card","8,202"
113,"Flubs, the Fool","8,176"
114,"Ob Nixilis, Captive Kingpin","8,171"
115,"Bello, Bard of the Brambles","8,066"
116,"Jodah, Archmage Eternal","8,027"
117,"Ziatora, the Incinerator","8,023"
118,Slimefoot and Squee,"7,990"
119,"Valgavoth, Harrower of Souls","7,959"
120,"Brago, King Eternal","7,951"
121,"Brimaz, Blight of Oreskos","7,930"
122,Kynaios and Tiro of Meletis,"7,909"
123,"Raffine, Scheming Seer","7,766"
124,"Hazezon, Shaper of Sand","7,746"
125,"Dina, Soul Steeper","7,744"
126,"Obeka, Brute Chronologist","7,742"
127,"Brenard, Ginger Sculptor","7,742"
128,"Jon Irenicus, Shattered One","7,736"
129,"Syr Gwyn, Hero of Ashvale","7,636"
130,"Elesh Norn, Mother of Machines","7,604"
131,"Volo, Guide to Monsters","7,580"
132,"Derevi, Empyrial Tactician","7,545"
133,"Myrkul, Lord of Bones","7,486"
134,"Rakdos, Lord of Riots","7,466"
135,"Judith, Carnage Connoisseur","7,459"
136,"Chulane, Teller of Tales","7,377"
137,"Mishra, Eminent One","7,367"
